tpb,nX,time
64,2048,57.91536875
64,4096,64.61497500
64,8192,81.75041875
64,16384,130.01895000
64,32768,225.27197500
64,65536,407.64807500
64,131072,767.50400000
64,262144,1486.95180000
64,524288,2925.79940000
64,1048576,5805.36000000
128,2048,59.11037500
128,4096,65.93256875
128,8192,83.46611250
128,16384,127.46790000
128,32768,227.04170000
128,65536,409.92627500
128,131072,770.14515000
128,262144,1490.73800000
128,524288,2930.29200000
128,1048576,5812.63800000
256,2048,60.56089375
256,4096,72.49526250
256,8192,93.55172500
256,16384,137.50443750
256,32768,230.09605000
256,65536,417.45795000
256,131072,778.49115000
256,262144,1506.26410000
256,524288,2959.43360000
256,1048576,5865.16600000
512,2048,74.03533750
512,4096,75.30740625
512,8192,109.17891250
512,16384,156.37922500
512,32768,256.52690000
512,65536,445.95130000
512,131072,828.20100000
512,262144,1582.39750000
512,524288,3101.82440000
512,1048576,6148.01760000
