nX,classicArray,classicAtomic,sweptArray,sweptAtomic
2048,35.38041875,57.91536875,38.2937125,44.78134048
4096,35.58014375,64.614975,39.2355786,46.51636444
8192,37.71212188,81.75041875,43.20506876,48.18386207
16384,52.88690625,127.4679,71.35363419,90.25522913
32768,81.48070625,225.271975,109.61955115,141.6719994
65536,142.6743375,407.648075,191.9544354,276.67048169
131072,248.6288,767.504,380.54410443,543.50044785
262144,459.7769,1486.9518,752.76812101,1068.78164809
524288,882.0239,2925.7994,1487.75748802,2111.12917994
1048576,1726.8046,5805.36,2964.99760383,4198.61345541
