tpb,dv,classicArray,classicAtomic,sweptArray,sweptAtomic
32,2048,10.5145,37.2119,2.35491,10.6148
32,4096,12.3915,45.3359,2.58066,11.9703
32,8192,13.5635,67.7075,3.66284,20.8072
32,16384,16.8177,104.992,5.08569,32.5191
32,32768,23.6894,182.908,8.12744,56.7365
32,65536,37.5551,337.811,14.7585,104.285
32,131072,71.0992,624.913,27.6128,201.835
32,262144,130.013,1212.95,53.1499,396.345
32,524288,247.638,2379.28,104.263,784.76
32,1048576,482.919,4718.92,206.56,1562.93
64,2048,10.4119,37.267,1.85109,9.61128
64,4096,12.1452,45.4394,2.0203,10.7847
64,8192,12.104,62.9761,2.472,14.5321
64,16384,15.5412,102.015,3.56851,43.8224
64,32768,20.223,172.222,5.78267,80.5145
64,65536,29.8674,316.25,10.2022,153.761
64,131072,52.4047,588.891,19.0093,305.169
64,262144,92.2957,1136.43,36.4602,610.572
64,524288,172.54,2230.38,71.3658,1221.9
64,1048576,332.946,4418.75,141.111,2443.84
128,2048,10.2113,41.1027,1.52081,10.6074
128,4096,12.2082,49.9857,1.66086,12.5047
128,8192,12.3124,65.5395,2.02396,14.9668
128,16384,15.6147,99.2663,2.84368,29.5843
128,32768,20.4046,175.152,4.57271,61.0777
128,65536,29.8627,326.316,8.01774,118.123
128,131072,49.9871,607.73,14.8674,226.007
128,262144,88.2125,1159.59,28.2828,445.944
128,524288,164.271,2260.31,55.136,892.943
128,1048576,316.65,4457.8,108.906,1784.42
256,2048,11.3281,41.7556,1.34541,11.2674
256,4096,12.3938,56.648,1.59529,14.5261
256,8192,13.7884,72.7568,1.91884,17.2108
256,16384,15.447,106.5,2.6278,26.6545
256,32768,20.4602,178.801,4.21093,49.3025
256,65536,30.1686,329.489,7.3595,98.4544
256,131072,50.2862,606.564,13.6116,180.673
256,262144,88.6015,1159.79,25.8546,348.425
256,524288,165.201,2259.47,50.4757,682.442
256,1048576,318.283,4456.44,99.6421,1355.42
512,2048,12.1479,57.5493,1.51909,15.2436
512,4096,12.1921,57.9564,1.52334,15.3118
512,8192,13.5092,87.884,2.00571,20.6509
512,16384,17.1218,121.834,2.60008,36.8136
512,32768,21.7258,187.141,4.68618,61.4165
512,65536,30.7689,342.344,7.92118,103.953
512,131072,51.5981,625.877,14.7362,189.635
512,262144,89.9209,1175.56,26.6776,364.381
512,524288,167.145,2275.55,52.309,710.869
512,1048576,321.477,4482.63,102.133,1410.78
1024,2048,14.3089,88.6339,1.96935,21.3711
1024,4096,14.6172,89.0899,1.97433,21.4486
1024,8192,15.0064,90.181,1.98356,21.5563
1024,16384,18.3972,155.839,3.12533,41.9673
1024,32768,23.6427,221.682,4.9535,63.0426
1024,65536,34.0302,386.226,8.7269,105.694
1024,131072,55.8035,699.614,15.1361,193.193
1024,262144,97.2882,1268.49,27.3374,377.109
1024,524288,179.472,2443.64,52.7626,733.811
1024,1048576,344.118,4774.14,104.366,1465.54
