,EulerClassic,EulerSwept,HeatClassic,HeatSwept
"(64, 0.0)",0.9967567769168321,0.9997869854858693,0.5762201537775871,0.9984298231369059
"(64, 2.0)",0.997705609544057,0.9998951195279853,0.5944329973201096,0.9995380670166536
"(64, 4.0)",0.9959952872758653,0.9999999623730471,0.6138594612132868,0.9993813525135571
"(64, 6.0)",0.992561427587811,0.9999108265527293,0.60873961409872,0.9999998211395447
"(64, 8.0)",0.9934510872127278,0.9999926957328299,0.6337616027009878,0.999608776852336
"(64, 10.0)",0.9880255737174992,0.9999997985359239,0.6810667564848079,0.9994913585056007
"(64, 12.0)",0.9906325922766499,0.9999989684655011,0.701390281160265,0.999571751837371
"(64, 14.0)",0.9884285187152827,0.9999671210537262,0.7433673920101922,0.9992581266674291
"(64, 16.0)",0.9894534748087702,0.9999999905205548,0.7505843809363756,0.9999390938340564
"(64, 18.0)",0.9749116157241188,0.9999993722184873,0.812011000242796,0.9976728554873616
"(64, 20.0)",0.9829177373738864,0.9999872811863086,0.8124747595483273,0.9993900569612023
"(96, 0.0)",0.9970117795645289,0.9998186784285793,0.6100418138013153,0.9988314081032886
"(96, 2.0)",0.996499889864193,0.9993506998377993,0.5916361067735236,0.998880770801376
"(96, 4.0)",0.9979250897976497,0.9999994359646014,0.6001667806323896,0.9997595006157132
"(96, 6.0)",0.9914132780468986,0.9996860201485678,0.6177700828023795,0.9995843750570914
"(96, 8.0)",0.9939644860512654,0.9999888465311114,0.6370093240820596,0.9997376675134463
"(96, 10.0)",0.9930303679595899,0.9999998260826275,0.6796237790022079,0.999775045446865
"(96, 12.0)",0.9734358889380142,0.999998733872875,0.6986975481953636,0.9992831323689265
"(96, 14.0)",0.9907692888128101,0.9999884303877634,0.7283068704155744,0.9997840318444835
"(96, 16.0)",0.9881135070040646,0.9999889647560191,0.7799483979320706,0.9991560969191478
"(96, 18.0)",0.9834084241610901,0.999981199350238,0.7971633849708979,0.99926938942893
"(96, 20.0)",0.9842897393172593,0.9999997503143123,0.8152041755695767,0.9971224967402772
"(128, 0.0)",0.9914986117348467,0.9993794195361532,0.591355049067116,0.9997740648457047
"(128, 2.0)",0.9913865000928932,0.9998145549493448,0.5879185063794217,0.9971588685206878
"(128, 4.0)",0.9948730788100832,0.9999956874622866,0.5940624010542794,0.9999741956949008
"(128, 6.0)",0.9951038849105964,0.9999980755342647,0.6039905457718905,0.9996571082850613
"(128, 8.0)",0.9940065686522838,0.9999999801636984,0.6307210676839419,0.9997058619903448
"(128, 10.0)",0.9921295430874779,0.9999974880779743,0.6666500996511942,0.9996773152536896
"(128, 12.0)",0.9892640986920965,0.9999926294605687,0.7116172110252439,0.9977240067010219
"(128, 14.0)",0.9855038395567532,0.999999951012731,0.7391630770267348,0.9980568642746129
"(128, 16.0)",0.9715298366300702,0.9999399727420042,0.770855388015162,0.999553885580868
"(128, 18.0)",0.9600364331999676,0.9999913441679009,0.7955170893957395,0.9993060445278843
"(128, 20.0)",0.9800521942488601,0.9999984631765738,0.8206658163764073,0.9996061211401785
"(192, 0.0)",0.9977352173300131,0.9997559978398577,0.6034251827000023,0.9989617080878554
"(192, 2.0)",0.9938314881183448,0.9998292293600041,0.5905636166008297,0.999542490384142
"(192, 4.0)",0.9969956300971907,0.9999942649347252,0.6087760970385314,0.9997923262888604
"(192, 6.0)",0.9950650295647768,0.999995650075051,0.6219390757159882,0.9998241308873751
"(192, 8.0)",0.9938378372746488,0.9999962873308246,0.6325732932427435,0.9996736704964901
"(192, 10.0)",0.9910189386081939,0.9999635329034735,0.6792274948239188,0.9996274397909776
"(192, 12.0)",0.9838691664090352,0.9999982360628356,0.7166443251429775,0.9997418573978462
"(192, 14.0)",0.9927672569866259,0.9999997313784845,0.7470749999455926,0.9992143821595961
"(192, 16.0)",0.9890821403999777,0.9999974131024247,0.7749791006625347,0.9999848557010391
"(192, 18.0)",0.9873394953654223,0.9999999999286444,0.7872830877481982,0.9992202240401205
"(192, 20.0)",0.9845512095260678,0.9999995571636116,0.8280658007602888,0.9996288858831226
"(256, 0.0)",0.9966678356731687,0.9997102873835182,0.6387531811608844,0.9989031688226948
"(256, 2.0)",0.9967661597700765,0.9999095041556935,0.6249452405313218,0.9997465774428796
"(256, 4.0)",0.9969780454899859,0.9999993682925751,0.6102410684367471,0.9998241622096113
"(256, 6.0)",0.995483713451602,0.9999945395007851,0.5963644167175375,0.999878837881698
"(256, 8.0)",0.9961644545546663,0.9999384217319126,0.6018191649336191,0.9999944186596137
"(256, 10.0)",0.9947629211848987,0.9999964206147821,0.6777480999489145,0.9992140551704815
"(256, 12.0)",0.9903837241572547,0.9999952885663983,0.7197992721458366,0.9998975000005766
"(256, 14.0)",0.9890021557771457,0.9999997643342173,0.7449976891208738,0.9994978987641034
"(256, 16.0)",0.9885881830660339,0.9999687910491372,0.7732057844279209,0.9996735557890333
"(256, 18.0)",0.9853280181247017,0.999999853907777,0.7996476556010061,0.9994267189081758
"(256, 20.0)",0.9856805046247524,0.9999946769946122,0.8196282758306599,0.9985444560181913
"(384, 0.0)",0.9984204394059024,0.999774827892573,0.6104648024790393,0.9991653225171611
"(384, 2.0)",0.9945951533158743,0.9995838639725646,0.5959068344600422,0.9998811106008588
"(384, 4.0)",0.9955202084943109,0.999999150487846,0.6081241394129133,0.999836494517128
"(384, 6.0)",0.99557134426,0.9999999712091612,0.6160343921839028,0.9998855554531683
"(384, 8.0)",0.9939442602941475,0.9999919192354878,0.6437858699910095,0.9998236595407248
"(384, 10.0)",0.9911511735911457,0.9999998712000083,0.679022382359091,0.999827062895613
"(384, 12.0)",0.9905844452489593,0.9999511919662478,0.7415907045819881,0.9987178571051114
"(384, 14.0)",0.9891060593136274,0.999999370013295,0.7558461511999347,0.9997606880962591
"(384, 16.0)",0.9905454054494052,0.9999723712715494,0.7531976283175501,0.9995570896213367
"(384, 18.0)",0.9892569201985119,0.9999998112658839,0.7849502009931145,0.9997826307657537
"(384, 20.0)",0.9813824325038442,0.9999764006658333,0.8149836113314488,0.9996724018043491
"(512, 0.0)",0.9981454244217665,0.9997633426192976,0.6086167537960312,0.9974369869240399
"(512, 2.0)",0.9982793497211104,0.9998249280551854,0.6139165188211377,0.9999450414201569
"(512, 4.0)",0.9956142173608984,0.9999998022761869,0.5746430011819861,0.9997806334543256
"(512, 6.0)",0.9966589043261261,0.9999999943454569,0.6081587328613904,0.999814424900287
"(512, 8.0)",0.9920694426234364,0.9999741521152234,0.6189375438517155,0.9999108399369195
"(512, 10.0)",0.988139272763955,0.9999982068469411,0.6700442267786195,0.9998872829329807
"(512, 12.0)",0.995136791887667,0.999998793744148,0.7116079168149215,0.9999743556391424
"(512, 14.0)",0.9912257366933267,0.9999983822235586,0.7501604468987766,0.9998691840856598
"(512, 16.0)",0.9791080126722516,0.9999999460948521,0.7708558711860307,0.9973166581005488
"(512, 18.0)",0.9866554897755173,0.9999971211802591,0.7991034202330503,0.9994621605223686
"(512, 20.0)",0.986517703978262,0.9999934211311301,0.8459986689059374,0.9997158453350532
"(768, 0.0)",0.9984057875716654,0.9997496094548427,0.6046369815135006,0.9993320332112522
"(768, 2.0)",0.9971520403890611,0.999756123490514,0.6108800457003167,0.9998130285547953
"(768, 4.0)",0.9969417966686989,0.9999960754067425,0.6239373681594358,0.9992865093586203
"(768, 6.0)",0.9955520512005205,0.9999936326994024,0.6423451431239634,0.9998998721632227
"(768, 8.0)",0.996380842903122,0.9999999812478612,0.696974559402026,0.9996889449024458
"(768, 10.0)",0.9957446581141867,0.9999998599375332,0.7134448525316023,0.9998588670150199
"(768, 12.0)",0.9950590922522211,0.9999331950680244,0.7484936697672386,0.999903788552216
"(768, 14.0)",0.9884096483953584,0.9999841824799869,0.7455727532042772,0.9996862909371744
"(768, 16.0)",0.985296425529974,0.9999999851169881,0.7807916763955582,0.9993352563655052
"(768, 18.0)",0.982790081342361,0.9999835415470195,0.793361506971892,0.999546235416685
"(768, 20.0)",0.9826037996967988,0.9999928105833645,0.820296827976646,0.9996991128713419
